id,text,section_type,page,token_count,chunk_index
10,"ORDER QUANTITY. . 7. Generic OPTION CLAUSE: The Purchaser reserves the right to increase or decrease the quantity to be ordered up to 25 percent of bid quantity at the time of placement of contract. The purchaser also reserves the right to increase the ordered quantity up to 25% of the contracted quantity during the currency of the contract at the contracted rates. The delivery period of quantity shall commence from the last date of original delivery order and in cases where option clause is exercised during the extended delivery period the additional time shall commence from the last date of extended delivery period. The additional delivery time shall be (Increased quantity ÷ Original quantity) × Original delivery period (in days), subject to minimum of 30 days. If the original delivery period is less than 30 days, the additional time equals the original delivery period. The Purchaser may extend this calculated delivery duration up to the original delivery period while exercising the option clause. Bidders must comply with these terms. 7 / 9",general,8,173,10
11,"8 /Disclaimer अअ(cid:38)(cid:38)ववीीककररणण The additional terms and conditions have been incorporated by the Buyer after approval of the Competent Authority in Buyer Organization, whereby Buyer organization is solely responsible for the impact of these clauses on the bidding process, its outcome, and consequences thereof including any eccentricity / restriction arising in the bidding process due to these ATCs and due to modification of technical specifications and / or terms and conditions governing the bid. If any clause(s) is / are incorporated by the Buyer regarding following, the bid and resultant contracts shall be treated as null and void and such bids may be cancelled by GeM at any stage of bidding process without any notice:- 1. Definition of Class I and Class II suppliers in the bid not in line with the extant Order / Office Memorandum issued by DPIIT in this regard. 2. Seeking EMD submission from bidder(s), including via Additional Terms & Conditions, in contravention to exemption provided to such sellers under GeM GTC. 3. Publishing Custom / BOQ bids for items for which regular GeM categories are available without any Category item bunched with it. 4. Creating BoQ bid for single item. 5. Mentioning specific Brand or Make or Model or Manufacturer or Dealer name. 6. Mandating submission of documents in physical form as a pre-requisite to qualify bidders. 7. Floating / creation of work contracts as Custom Bids in Services. 8. Seeking sample with bid or approval of samples during bid evaluation process. (However, in bids for attached categories, trials are allowed as per approved procurement policy of the buyer nodal Ministries) 9. Mandating foreign / international certifications even in case of existence of Indian Standards without specifying equivalent Indian Certification / standards. 10. Seeking experience from specific organization / department / institute only or from foreign / export experience. 11. Creating bid for items from irrelevant categories. 12. Incorporating any clause against the MSME policy and Preference to Make in India Policy. 13. Reference of conditions published on any external site or reference to external documents/clauses. 14. Asking for any Tender fee / Bid Participation fee / Auction fee in case of Bids / Forward Auction, as the case may be. 15. Buyer added ATC Clauses which are in contravention of clauses defined by buyer in system generated bid template as indicated above in the Bid Details section, EMD Detail, ePBG Detail and MII and MSE Purchase Preference sections of the bid, unless otherwise allowed by GeM GTC. 16. In a category based bid, adding additional items, through buyer added additional scope of work/ additional terms and conditions/or any other document. If buyer needs more items along with the main item, the same must be added through bunching category based items or by bunching custom catalogs or bunching a BoQ with the main category based item, the same must not be done through ATC or Scope of Work. Further, if any seller has any objection/grievance against these additional clauses or otherwise on any aspect of this bid, they can raise their representation against the same by using",bill_of_quantities,9,512,11
12,"bunching a BoQ with the main category based item, the same must not be done through ATC or Scope of Work. Further, if any seller has any objection/grievance against these additional clauses or otherwise on any aspect of this bid, they can raise their representation against the same by using the Representation window provided in the bid details field in Seller dashboard after logging in as a seller within 4 days of bid publication on GeM. Buyer is duty bound to reply to all such representations and would not be allowed to open bids if he fails to reply to such representations. All GeM Sellers/Service Providers shall ensure full compliance with all applicable labour laws, including the provisions, rules, schemes and guidelines under the four Labour Codes i.e. the Code on Wages, 2019; the Industrial Relations Code, 2020; the Occupational Safety, Health and Working Conditions Code, 2020; and the Code on Social Security, 2020 as and when notified and brought into force by the Government of India. For all provisions of the Labour Codes that are pending operationalisation through rules, schemes or notifications, the corresponding provisions of the pre-existing labour enactments (such as The Minimum Wages Act, 1948, The Payment of Wages Act, 1936, The Payment of Bonus Act, 1965, The Equal Remuneration Act, 1976, The Payment of Gratuity Act, 1972, etc. and relevant State Rules) shall continue to remain applicable. 8 / 9",bill_of_quantities,9,234,12
13,"9 The Seller/ Service Providers shall, therefore, be responsible for ensuring compliance under: All notified and enforceable provisions of the new Labour Codes as mentioned hereinabove; and All operative provisions of the erstwhile Labour Laws until their complete substitution. All obligations relating to wages, social security, safety, working conditions, industrial relations etc. and any other statutory requirements shall be strictly met by the Seller/ Service Provider. Any non- compliance shall constitute a breach of the contract and shall entitle the Buyer to take appropriate action in accordance with the contract and applicable law. यह (cid:1)बड सामा(cid:55)य शत(cid:61) के अतं गत(cid:37) भी शािसत है /This Bid is also governed by the General Terms and Conditions जेम क(cid:16) सामा(cid:55)य शत(cid:61) के खंड 26 के संदभ (cid:37) म(cid:41) भारत के साथ भूिम सीमा साझा करने वाले देश के (cid:1)बडर से खर(cid:19)द पर (cid:53)ितबंध के संबंध म(cid:41) भारत के साथ भूिम सीमा साझा करने वाले देश का कोई भी (cid:1)बडर इस िन(cid:1)वदा म(cid:41) (cid:1)बड देने के िलए तभी पा(cid:32) होगा जब वह (cid:1)बड देने वाला स(cid:63)म (cid:53)ािधकार(cid:19) के पास पंजीकृत हो।(cid:1)बड म(cid:41) भाग लेते समय (cid:1)बडर को इसका अनुपालन करना होगा और कोई भी गलत घोषणा (cid:67)कए जाने व इसका अनुपालन न करने पर अनुबंध को त(cid:108)काल समा(cid:65) करने और कानून के अनुसार आगे क(cid:16) कानूनी कार(cid:37)वाई का आधार होगा।/In terms of GeM GTC clause 26 regarding Restrictions on procurement from a bidder of a country which shares a land border with India, any bidder from a country which shares a land border with India will be eligible to bid in this tender only if the bidder is registered with the Competent Authority. While participating in bid, Bidder has to undertake compliance of this and any false declaration and non-compliance of this would be a ground for immediate termination of the contract and further legal action in accordance with the laws. धध(cid:55)(cid:55)ययववाादद/Thank You 9 / 9",bill_of_quantities,10,312,13
0,"1 (cid:1)बड सं(cid:66)या/Bid Number: GEM/2025/B/7057799 (cid:67)दनांक /Dated: 10-02-2026 (cid:1)(cid:1)बबडड दद(cid:38)(cid:38)ततााववेज़ेज़ / Bid Document (cid:1)(cid:1)बबडड (cid:1)(cid:1)ववववररणण//Bid Details (cid:1)(cid:1)बबडड बबंदंद हहोोनने े कक(cid:16)(cid:16) तताारर(cid:19)(cid:19)खख//ससममयय /Bid End Date/Time 03-03-2026 09:00:00 (cid:1)(cid:1)बबडड खखुलुलनने े कक(cid:16)(cid:16) तताारर(cid:19)(cid:19)खख//ससममयय /Bid Opening 03-03-2026 09:30:00 Date/Time (cid:1)(cid:1)बबडड पपेशेशककशश ववैधैधतताा ((बबंदंद हहोोनने े कक(cid:16)(cid:16) तताारर(cid:19)(cid:19)खख ससे)े)/Bid Offer 150 (Days) Validity (From End Date) ममं(cid:32)ं(cid:32)ााललयय//रराा(cid:33)(cid:33)यय ककाा ननाामम/Ministry/State Name Ministry Of Defence (cid:1)(cid:1)ववभभाागग ककाा ननाामम/Department Name Department Of Military Affairs ससंगंगठठनन ककाा ननाामम/Organisation Name Indian Navy ककााययााल(cid:37)ल(cid:37) यय ककाा ननाामम/Office Name *********** ककुुलल ममाा(cid:32)(cid:32)ाा/Total Quantity 60 वव(cid:38)(cid:38)ततु ु (cid:39)(cid:39)णेणे ीी /Item Category DEGARELIX 80 MG INJ GeMARPTS मम(cid:41) (cid:41) खखोोजजीी गगईई (cid:44)(cid:44)(cid:38)(cid:38)(cid:45)(cid:45)ंं(cid:46)(cid:46)सस / Searched DEGARELIX 80 MG INJ Strings used in GeMARPTS First Line Anti TB Drugs for NTEP - Ethambutol 800 mg Tablet, Laboratory Desiccator (V2), Pipe Clamps (V2), GeMARPTS मम(cid:41) (cid:41) खखोोजजाा गगययाा पप(cid:47)(cid:47)ररणणाामम / Searched Artemether + Lumefantrine Tablets (V2), Laboratory Vials Result generated in GeMARPTS (V2), Virechan Peeth For Panchakarma, Verapamil Tablets, Docetaxel Injection अअििधधससूचूचननाा ककेे ििललएए चचययििननतत (cid:53)(cid:53)ााससंिंिगगकक (cid:39)(cid:39)(cid:44)े(cid:44)ेणणययााँ ँ / Relevant Metoprolol Injection Categories selected for notification (cid:1)(cid:1)बबडडरर ककाा (cid:55)(cid:55)ययूनूनततमम औऔससतत ववाा(cid:1)(cid:1)षषक(cid:37)क(cid:37) टटननओ(cid:37)ओ(cid:37) ववरर ((33 ववषष(cid:61)(cid:61) ककाा)) /Minimum Average Annual Turnover of the 2 Lakh (s) bidder (For 3 Years) ममूलूल उउपपककररणण ििननममाात(cid:37)त(cid:37) ाा ककाा औऔससतत टटननओ(cid:37)ओ(cid:37) ववरर ((गगतत 33 ववषष(cid:61)(cid:61) 3 Lakh (s) ककाा))/OEM Average Turnover (Last 3 Years) उउ(cid:55)(cid:55)हह(cid:19)(cid:19)ं/ं/ससममाानन ससेवेवाा ककेे ििललएए अअपपे(cid:44)े(cid:44)(cid:63)(cid:63)तत (cid:1)(cid:1)ववगगतत अअननुभुभवव ककेे ववषष/(cid:37)(cid:37)Years of Past Experience Required for 2 Year (s) same/similar service ववषष(cid:61)(cid:61) ककेे अअननुभुभवव एएववंं टटननओ(cid:37)ओ(cid:37) ववरर ससेे एएममएएससईई ककोो छछूूटट (cid:53)(cid:53)ाा(cid:65)(cid:65) हहैै / MSE Relaxation for Years Of Experience Yes | Complete and Turnover 1 / 9",general,2,260,0
1,"2 (cid:1)(cid:1)बबडड (cid:1)(cid:1)ववववररणण//Bid Details (cid:38)(cid:38)टटााटट(cid:37)(cid:37)अअपप ककेे ििललएए अअननुभुभवव ककेे ववषष(cid:61)(cid:61) औऔरर टटननओ(cid:37)ओ(cid:37) ववरर ससेे छछूूटट (cid:53)(cid:53)ददाानन कक(cid:16)(cid:16) गगईई हहैै / Startup Relaxation for Years Of Yes | Complete Experience and Turnover Experience Criteria,Past Performance,Bidder Turnover,Certificate (Requested in ATC),OEM Authorization Certificate,OEM Annual Turnover,Compliance of BoQ (cid:1)(cid:1)वव(cid:75)(cid:75)ेेतताा ससे े ममाांगंगे े गगएए दद(cid:38)(cid:38)ततााववेज़ेज़/Document required specification and supporting document from seller *In case any bidder is seeking exemption from Experience / Turnover Criteria, the supporting documents to prove his eligibility for exemption must be uploaded for evaluation by the buyer (cid:76)(cid:76)ययाा आआपप ििनन(cid:1)(cid:1)ववददााककाारर(cid:78)(cid:78) (cid:79)(cid:79)ाारराा अअपपललोोडड (cid:67)(cid:67)ककएए गगएए दद(cid:38)(cid:38)ततााववेज़ेज़(cid:78)(cid:78) ककोो ििनन(cid:1)(cid:1)ववददाा मम(cid:41) (cid:41) भभाागग ललेनेने े ववाालले े ससभभीी ििनन(cid:1)(cid:1)ववददााककाारर(cid:78)(cid:78) ककोो (cid:67)(cid:67)ददखखााननाा Yes (Documents submitted as part of a clarification or representation during the tender/bid process will also be चचााहहतते े हह(cid:80)(cid:80)?? ससंदंदभभ (cid:37) (cid:37) ममेनेनू ू हहैै/Do you want to show displayed to other participated bidders after log in) documents uploaded by bidders to all bidders participated in bid? (cid:1)(cid:1)बबडड ललगगाानने े कक(cid:16)(cid:16) ससममयय ससीीममाा (cid:38)(cid:38)ववततःः ननहह(cid:19)(cid:19)ं ं बबढ़ढ़ाानने े ककेे ििललएए आआवव(cid:84)(cid:84)ययकक (cid:1)(cid:1)बबडड कक(cid:16)(cid:16) ससं(cid:66)ं(cid:66)ययाा।। / Minimum number of 1 bids required to disable automatic bid extension (cid:67)(cid:67)ददनन(cid:78)(cid:78) कक(cid:16)(cid:16) ससं(cid:66)ं(cid:66)ययाा,, (cid:44)(cid:44)जजननककेे ििललएए (cid:1)(cid:1)बबडड ललगगाानने े कक(cid:16)(cid:16) ससममयय--ससीीममाा बबढ़ढ़ााईई जजााएएगगीी।। // Number of days for which Bid 7 would be auto--extended ऑऑटटोो एए(cid:76)(cid:76)ससटट(cid:41)(cid:41)शशनन अअििधधककततमम (cid:67)(cid:67)ककततननीी बबाारर (cid:67)(cid:67)ककययाा जजााननाा हहैै।। // 1 Number of Auto Extension count (cid:1)(cid:1)ववगगतत (cid:53)(cid:53)ददशशन(cid:37)न(cid:37) /Past Performance 20 % (cid:1)(cid:1)बबडड ससे े (cid:47)(cid:47)ररववसस (cid:37) (cid:37) ननीीललााममीी सस(cid:67)(cid:67)(cid:75)(cid:75)यय (cid:67)(cid:67)ककययाा/Bid to RA enabled Yes (cid:47)(cid:47)ररववसस(cid:37) (cid:37)ननीीललााममीी ययोो(cid:46)(cid:46)ययतताा ििननययमम/RA Qualification Rule H1-Highest Priced Bid Elimination (cid:1)(cid:1)बबडड ककाा (cid:53)(cid:53)ककाारर/Type of Bid Two Packet Bid ततककननीीकक(cid:16)(cid:16) ममू(cid:88)ू(cid:88)ययाांकंकनन ककेे ददौौरराानन ततककननीीकक(cid:16)(cid:16) (cid:38)(cid:38)पप(cid:90)(cid:90)ीीककररणण हहेेततुु अअननुमुमतत ससममयय /Time allowed for Technical 3 Days Clarifications during technical evaluation ििननरर(cid:19)(cid:19)(cid:63)(cid:63)णण आआवव(cid:84)(cid:84)ययकक (ससूचूचीीबब(cid:91)(cid:91) ििननरर(cid:19)(cid:19)(cid:63)(cid:63)णण (cid:53)(cid:53)ााििधधककररणण /जजेमेम ककेे ससााथथ पपूवूव(cid:37) (cid:37)पपंजंजीीककृृतत एएजज(cid:41)ि(cid:41)िससयय(cid:78)(cid:78) (cid:79)(cid:79)ाारराा)/Inspection Required (By Yes Empanelled Inspection Authority / Agencies pre-registered with GeM) Inspection to be carried out by Buyers own Yes empanelled agency Type Of Inspection Post Dispatch Name of the Empanelled Inspection Board of Officers Agency/ Authority Auto CRAC Days 20 ममू(cid:88)ू(cid:88)ययाांकंकनन पप(cid:91)(cid:91)िितत/Evaluation Method Total value wise evaluation 2 / 9",general,3,342,1
2,"3 (cid:1)(cid:1)बबडड (cid:1)(cid:1)ववववररणण//Bid Details मम(cid:94)(cid:94)यय(cid:38)(cid:38)थथतताा खखंडंड/Arbitration Clause No ससुलुलहह खखंडंड/Mediation Clause No ईईएएममडड(cid:19)(cid:19) (cid:1)(cid:1)ववववररणण/EMD Detail आव(cid:84)यकता/Required No ईईपपीीबबीीजजीी (cid:1)(cid:1)ववववररणण /ePBG Detail आव(cid:84)यकता/Required No बोली (cid:1)वभाजन लागू नह(cid:19)ं (cid:67)कया गया/ Bid splitting not applied. एएममआआईईआआईई खखरर(cid:19)(cid:19)दद ववरर(cid:19)(cid:19)ययतताा / MII Purchase Preference एमआईआई खर(cid:19)द वर(cid:19)यता / MII Purchase Preference Yes मेक इन इं(cid:67)डया (cid:1)व(cid:75)ेताओं को खर(cid:19)द म(cid:41) (cid:53)ाथिमकता, य(cid:67)द उनका मू(cid:88)य L1+X% तक क(cid:16) सीमा म(cid:41) है / Purchase 20 Preference to MII sellers availabele upto price within L1+X% मेक इन इं(cid:67)डया खर(cid:19)द म(cid:41) (cid:53)ाथिमकता के िलए (cid:1)बड क(cid:16) मा(cid:32)ा का अिधकतम (cid:53)ितशत / Maximum Percentage of Bid 50 quantity for MII purchase preference एएममएएससईई खखरर(cid:19)(cid:19)दद ववरर(cid:19)(cid:19)ययतताा/MSE Purchase Preference एमएसई खर(cid:19)द वर(cid:19)यता/MSE Purchase Preference Yes सू(cid:98)म और लघु उ(cid:100)म मूल उपकरण िनमात(cid:37) ाओं को खर(cid:19)द म(cid:41) (cid:53)ाथिमकता, य(cid:67)द उनका मू(cid:88)य L1+X% तक क(cid:16) सीमा म(cid:41) हो / 15 Purchase Preference to MSE OEMs available upto price within L1+X% सू(cid:98)म और लघु उ(cid:100)म को खर(cid:19)द म(cid:41) (cid:53)ाथिमकता के िलए (cid:1)बड क(cid:16) मा(cid:32)ा का अिधकतम (cid:53)ितशत / Maximum 25 Percentage of Bid quantity for MSE purchase preference 1. If the bidder is a Micro or Small Enterprise as per latest orders issued by Ministry of MSME, the bidder shall be relaxed from the eligibility criteria of ""Experience Criteria"" as defined above subject to meeting of quality and technical specifications. The bidder seeking Relaxation from Experience Criteria, shall upload the supporting documents to prove his eligibility for Relaxation. 2. If the bidder is a Micro or Small Enterprise (MSE) as per latest orders issued by Ministry of MSME, the bidder shall be relaxed from the eligibility criteria of ""Bidder Turnover"" as defined above subject to meeting of quality 3 / 9",general,4,276,2
3,"4 and technical specifications. If the bidder itself is MSE OEM of the offered products, it would be relaxed from the ""OEM Average Turnover"" criteria also subject to meeting of quality and technical specifications. The bidder seeking Relaxation from Turnover, shall upload the supporting documents to prove his eligibility for Relaxation. 3. If the bidder is a DPIIT registered Startup, the bidder shall be relaxed from the the eligibility criteria of ""Experience Criteria"" as defined above subject to their meeting of quality and technical specifications. The bidder seeking Relaxation from Experience Criteria, shall upload the supporting documents to prove his eligibility for Relaxation. 4. If the bidder is a DPIIT registered Startup, the bidder shall be relaxed from the the eligibility criteria of ""Bidder Turnover"" as defined above subject to their meeting of quality and technical specifications. If the bidder is DPIIT Registered OEM of the offered products, it would be relaxed from the ""OEM Average Turnover"" criteria also subject to meeting of quality and technical specifications. The bidder seeking Relaxation from Turnover shall upload the supporting documents to prove his eligibility for Relaxation. 5. The minimum average annual financial turnover of the bidder during the last three years, ending on 31st March of the previous financial year, should be as indicated above in the bid document. Documentary evidence in the form of certified Audited Balance Sheets of relevant periods or a certificate from the Chartered Accountant / Cost Accountant indicating the turnover details for the relevant period shall be uploaded with the bid. In case the date of constitution / incorporation of the bidder is less than 3-year-old, the average turnover in respect of the completed financial years after the date of constitution shall be taken into account for this criteria. 6. Experience Criteria: In respect of the filter applied for experience criteria, the Bidder or its OEM of the product offered in the bid {themselves or through reseller(s)} should have regularly, manufactured and supplied same or similar Category Products to any Central / State Govt Organization / PSU for number of Financial years as indicated above in the bid document before the bid opening date. Copies of relevant contracts and delivery acceptance certificates like CRAC to be submitted along with bid in support of having supplied some quantity during each of the Financial year. In case of bunch bids, the category of primary product having highest value should meet this criterion. 7. OEM Turn Over Criteria: The minimum average annual financial turnover of the OEM of the offered product during the last three years, ending on 31st March of the previous financial year, should be as indicated in the bid document. Documentary evidence in the form of certified Audited Balance Sheets of relevant periods or a certificate from the Chartered Accountant / Cost Accountant indicating the turnover details for the relevant period shall be uploaded with the bid. In case the date of constitution / incorporation of the OEM is less than 3 year old, the average turnover in respect of the completed financial years after the date of constitution",general,5,512,3
4,"Accountant / Cost Accountant indicating the turnover details for the relevant period shall be uploaded with the bid. In case the date of constitution / incorporation of the OEM is less than 3 year old, the average turnover in respect of the completed financial years after the date of constitution shall be taken into account for this criteria. 8. Preference to Make In India products (For bids < 200 Crore):Preference shall be given to Class 1 local supplier as defined in public procurement (Preference to Make in India), Order 2017 as amended from time to time and its subsequent Orders/Notifications issued by concerned Nodal Ministry for specific Goods/Products. The minimum local content to qualify as a Class 1 local supplier is denoted in the bid document. If the bidder wants to avail the Purchase preference, the bidder must upload a certificate from the OEM regarding the percentage of the local content and the details of locations at which the local value addition is made along with their bid, failing which no purchase preference shall be granted. In case the bid value is more than Rs 10 Crore, the declaration relating to percentage of local content shall be certified by the statutory auditor or cost auditor, if the OEM is a company and by a practicing cost accountant or a chartered accountant for OEMs other than companies as per the Public Procurement (preference to Make-in -India) order 2017 dated 04.06.2020. Only Class-I and Class-II Local suppliers as per MII order dated 4.6.2020 will be eligible to bid. Non - Local suppliers as per MII order dated 04.06.2020 are not eligible to participate. However, eligible micro and small enterprises will be allowed to participate.The buyers are advised to refer the OM No.F.1/4/2021-PPD dated 18.05.2023 OM_No.1_4_2021_PPD_dated_18.05.2023 for compliance of Concurrent application of Public Procurement Policy for Micro and Small Enterprises Order, 2012 and Public Procurement (Preference to Make in India) Order, 2017. 9. Purchase preference will be given to MSEs having valid Udyam Registration and whose credentials are validated online through Udyam Registration portal as defined in Public Procurement Policy for Micro and Small Enterprises (MSEs) Order, 2012 dated 23.03.2012 issued by Ministry of Micro, Small and Medium Enterprises and its subsequent Orders/Notifications issued by concerned Ministry. If the bidder wants to avail themselves of the Purchase preference, the bidder must be the manufacturer / OEM of the offered product on GeM. Traders are excluded from the purview of Public Procurement Policy for Micro and Small Enterprises and hence resellers offering products manufactured by some other OEM are not eligible for any purchase preference. In respect of bid for Services, the bidder must be the Service provider of the offered Service. Relevant documentary evidence in this regard shall be uploaded along with the bid in respect of the offered product or service and Buyer will decide eligibility for purchase preference based on documentary evidence submitted, while evaluating the bid. If L-1 is not an MSE and MSE Seller (s) has / have quoted price within L-1+ 15% (Selected by Buyer) of margin of purchase preference",general,5,512,4
5,"respect of the offered product or service and Buyer will decide eligibility for purchase preference based on documentary evidence submitted, while evaluating the bid. If L-1 is not an MSE and MSE Seller (s) has / have quoted price within L-1+ 15% (Selected by Buyer) of margin of purchase preference /price band defined in relevant policy, such MSE Seller shall be given opportunity to match L-1 price and contract will be awarded for 25% (selected by Buyer) percentage of total quantity. The buyers are advised to refer the OM No. F.1/4/2021-PPD dated 18.05.2023 OM_No.1_4_2021_PPD_dated_18.05.2023 for compliance of Concurrent application of Public Procurement Policy for Micro and Small Enterprises Order, 2012 and Public Procurement (Preference to Make in India) Order, 2017. Benefits of MSE will be allowed only if seller is 4 / 9",general,5,133,5
6,"5 validated on-line in GeM profile as well as validated and approved by Buyer after evaluation of documents submitted. 10. Past Performance: The Bidder or its OEM {themselves or through re-seller(s)} should have supplied same or similar Category Products for 20% of bid quantity, in at least one of the last three Financial years before the bid opening date to any Central / State Govt Organization / PSU. Copies of relevant contracts (proving supply of cumulative order quantity in any one financial year) to be submitted along with bid in support of quantity supplied in the relevant Financial year. In case of bunch bids, the category related to primary product having highest bid value should meet this criterion. 11. Inspection of Stores by Nominated Inspection Authority / Agency of buyer or their authorized representatives An independent third party Professional Inspection Body can help buyer in mitigating buyer’s risk with pre- dispatch/post-dispatch inspection in order to ensure that equipment, components, solutions and documentation conform to contractual requirements. The buyer has a right to inspect goods in reasonable manner and within reasonable time at any reasonable place as indicated in contract. Inspection Fee/ Charges (as pre-greed between buyer and Inspection Agency) would be borne by the buyer as per their internal arrangement but may be recovered from the seller if the consignment failed to conform to contractual specification and got rejected by the Inspection Officer .If so requested and accepted by the seller , initially seller may pay for inspection charges as applicable and get the same reimbursed from buyer if consignment accepted by the Inspecting Officer . For reimbursement seller has to submit proof of payment to Inspection Agency. Seller/OEM shall send a notice in writing / e-mail to the Inspecting officer / inspection agency specifying the place of inspection as per contract and the Inspecting officer shall on receipt of such notice notify to the seller the date and time when the stores would be inspected. The seller shall, at his own expenses, afford to the Inspecting officer, all reasonable facilities as may be necessary for satisfying himself that the stores are being and or have been manufactured in accordance with the technical particulars governing the supply. The decision of the purchaser representative /inspection authority regarding acceptance / rejection of consignment shall be final and binding on the seller. The Seller shall provide, without any extra charge, all materials, tools, labour and assistance of every kind which the Inspecting officer may demand of him for any test, and examination, other than special or independent test, which he shall require to be made on the seller's premises and the seller shall bear and pay all costs attendant thereon. The seller shall also provide and deliver store / sample from consignment under inspection free of charge at any such place other than his premises as the Inspecting officer may specify for acceptance tests for which seller/OEM does not have the facilities or for special/ independent tests. In the event of rejection of stores or any part thereof by the Inspecting officer basis testing outside",general,6,512,6
7,"of charge at any such place other than his premises as the Inspecting officer may specify for acceptance tests for which seller/OEM does not have the facilities or for special/ independent tests. In the event of rejection of stores or any part thereof by the Inspecting officer basis testing outside owing to lack of test facility at sellers premises, the seller shall, on demand, pay to the buyer the costs incurred in the inspection and/or test. Cost of test shall be assessed at the rate charged by the Laboratory to private persons for similar work. Inspector shall have the right to put all the stores or materials forming part of the same or any part thereof to such tests as he may like fit and proper as per QAP/governing specification. The seller shall not be entitled to object on any ground whatsoever to the method of testing adopted by the Inspecting officer. Unless otherwise provided for in the contract, the quantity of the stores or materials expended in test will be borne by seller. Inspecting officer is the Final Authority to Certify Performance / accept the consignment. The Inspecting officer’s decision as regards the rejection shall be final and binding on the seller. The seller shall if so required at his own expense shall mark or permit the Inspecting officer to mark all the approved stores with a recognised Government or purchaser's mark. 12. Reverse Auction would be conducted amongst all the technically qualified bidders except the Highest quoting bidder. The technically qualified Highest Quoting bidder will not be allowed to participate in RA. However, H-1 will also be allowed to participate in RA in following cases: i. If number of technically qualified bidders are only 2 or 3. ii. If Buyer has chosen to split the bid amongst N sellers, and H1 bid is coming within N. iii. In case Primary product of only one OEM is left in contention for participation in RA on elimination of H-1. iv. If L-1 is non-MSE and H-1 is eligible MSE and H-1 price is coming within price band of 15% of Non-MSE L-1 v. If L-1 is non-MII and H-1 is eligible MII and H-1 price is coming within price band of 20% of Non-MII L-1 5 / 9",general,6,378,7
8,"6 DEGARELIX 80 MG INJ ( 60 vials ) ((cid:75)(cid:75)ममशशःः (cid:39)(cid:39)णेणे ीी 1 औऔरर (cid:39)(cid:39)णेणे ीी 2 ककेे (cid:38)(cid:38)थथााननीीयय आआपपूिूिततक(cid:37)क(cid:37) तताा(cid:37) (cid:37)ककेे (cid:101)(cid:101)पप मम(cid:41)(cid:41) अअहह(cid:37)त(cid:37)ताा (cid:53)(cid:53)ाा(cid:65)(cid:65) ककररननेे ककेे ििललएए आआवव(cid:84)(cid:84)ययकक/Minimum 50% and 20% Local Content required for qualifying as Class 1 and Class 2 Local Supplier respectively) ततककननीीकक(cid:16)(cid:16) (cid:1)(cid:1)ववििशश(cid:1)(cid:1)(cid:90)(cid:90)ययााँ ँ /Technical Specifications (cid:75)ेता (cid:1)विश(cid:1)(cid:90) द(cid:38)तावेज़ /Buyer Download Specification Document अअिितत(cid:47)(cid:47)रर(cid:102)(cid:102) (cid:1)(cid:1)ववििशश(cid:1)(cid:1)(cid:90)(cid:90) दद(cid:38)(cid:38)ततााववेज़ेज़ /Additional Specification Documents DrawingDocument1 View पपररेे(cid:1)(cid:1)षषततीी//(cid:47)(cid:47)ररपपोो(cid:67)(cid:67)टट(cid:103)(cid:103)गग अअििधधककाारर(cid:19)(cid:19) ततथथाा ममाा(cid:32)(cid:32)ाा/Consignees/Reporting Officer and Quantity पपररेे(cid:1)(cid:1)षषततीी//(cid:47)(cid:47)ररपपोो(cid:67)(cid:67)टट(cid:103)(cid:103)गग (cid:75)(cid:75)..ससं.ं./S.N (cid:67)(cid:67)डडललीीववरर(cid:19)(cid:19) ककेे (cid:67)(cid:67)ददनन/Delivery o. अअििधधककाारर(cid:19)(cid:19) /Consignee पपतताा/Address ममाा(cid:32)(cid:32)ाा /Quantity Days Reporting/Officer 1 *********** ***********Mumbai 60 30 /Buyer Added Bid Specific Terms and Conditions (cid:75)(cid:75)ेेतताा (cid:79)(cid:79)ाारराा जजोोड़ड़(cid:19)(cid:19) गगईई (cid:1)(cid:1)बबडड कक(cid:16)(cid:16) (cid:1)(cid:1)ववशशेषेष शशतत(cid:106)(cid:106) 1. Generic Actual delivery (and Installation & Commissioning (if covered in scope of supply)) is to be done at following address MEDICAL STORES INHS ASVINI, NEAR RC CHURCH COLABA, MUMBAI MH 400005 CONT NO : 02222143677 . 2. Generic Bidder financial standing: The bidder should not be under liquidation, court receivership or similar proceedings, should not be bankrupt. Bidder to upload undertaking to this effect with bid. 3. Generic Bidders shall quote only those products (Part of Service delivery) in the bid which are not obsolete in the market and has at least 2 years residual market life i.e. the offered product shall not be declared end-of- life by the OEM before this period. 4. Generic Bidder shall submit the following documents along with their bid for Vendor Code Creation: 6 / 9",general,7,240,8
